"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","eids-badge__description","eids-badge__label","he-lazy-image src 3"
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/150078-33","12","13.500","31-12-2024","3 +
                          1","150 m²","5
                        Yaşında","8. Kat","Neva Gayrimenkul'den Talas Mevlana'da 3+1 Temiz Daire","Kayseri / Talas / Mevlana Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/0/4/6/6/3/4/2b9cbdac-a980-45b8-ba1a-06b2e2067a49.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-general-emir-kiralik/daire/142468-332","10","15.000","31-12-2024","3 +
                          1","180 m²","18
                        Yaşında","Ara Kat","Erkilet Ertuğrulgazi Mahallesinde Kiralık Daire","Kayseri / Kocasinan / General Emir Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/0/2/7/9/3/4/419eac0c-1de1-40d1-853b-7aae531efdee.jpg","","","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-bahcelievler-kiralik/daire/148635-41","10","23.000","31-12-2024","2 +
                          1","120 m²","2
                        Yaşında","4. Kat","Kayseri Serkent Eşyalı Kiralık Daire","Kayseri / Melikgazi / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/akay-gayrimenkul-148635","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/3/2/1/9/3/4/1735020646512-43912302.jpg","Akay Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/3/6/8/4/1/4bf6781a-ddbf-4fdf-8cfb-e61d4f889d36.jpg","","",""
"https://www.hepsiemlak.com/kayseri-develi-asik-seyrani-kiralik/daire/147535-400","9","9.000","31-12-2024","1 +
                          1","95 m²","Sıfır Bina","Yüksek Giriş","Mekan Gayrimenkul'den Aşık Seyrani Mh. 1+1 Kiralık Daire","Kayseri / Develi / Aşık Seyrani Mah.","https://www.hepsiemlak.com/emlak-ofisi/mekan-gayrimenkul-147535/mehmet-sosun-4180947","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/4/4/8/7/3/4/8c4437d5-8eef-4c48-a671-99ad12bda075.jpg","Mekan Gayrimenkul","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/4/9/0/8/1/4/29230d04-886d-45a3-b5f3-50f800699764.jpg"
"https://www.hepsiemlak.com/kayseri-melikgazi-tacettin-veli-kiralik/daire/121687-574","21","17.999","31-12-2024","2 +
                          2","100 m²","Sıfır Bina","6. Kat","Ev Dünyasından/kayseri Çarşı Merkez Sıfır Bina Lüks Eşyalı Daire","Kayseri / Melikgazi / Tacettin Veli Mah.","https://www.hepsiemlak.com/emlak-ofisi/ev-dunyasi-121687","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/8/6/1/2/1/2144667b-be43-45cd-b23a-c9bd3c5fcf5b.jpg","Ev Dünyası","","","",""
"https://www.hepsiemlak.com/kayseri-develi-resadiye-kiralik/daire/692460-1487","11","12.000","03-01-2025","3 +
                          1","120 m²","Sıfır Bina","2. Kat","Aşık Seyrani Mah. 3+1 Kiralık Ömer Mavi Yanı","Kayseri / Develi / Reşadiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/anadolu-emlak-692460","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/6/4/2/9/6/5b565c2c-0fd9-4810-bbd7-741603e7e1c1.jpg","Anadolu Emlak","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-seker-kiralik/daire/91207-3230","13","12.500","31-12-2024","2 +
                          1","90 m²","3
                        Yaşında","2. Kat","Maxbir Gayrimenkul 2+1 Lüx Daire Şehir Hastanesi Karsısı","Kayseri / Kocasinan / Şeker Mah.","https://www.hepsiemlak.com/emlak-ofisi/maxbir-birikim-91207","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/2/1/9/0/ede43efe-8409-4041-810f-d5bfcc3221fd.png","Maxbir Birikim","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-fevzi-cakmak-kiralik/daire/145044-194","20","9.500","31-12-2024","3 +
                          1","150 m²","21
                        Yaşında","1. Kat","Grand İldem Gayrimenkulden Fevziçakmakta 3+1 Daire","Kayseri / Kocasinan / Fevzi Çakmak Mah.","https://www.hepsiemlak.com/emlak-ofisi/grand-ildem-gayrimenkul-145044","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/9/8/0/8/3/4/cc830977-8666-402b-8624-383868824aae.jpeg","Grand İldem Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/0/5/4/1/6fb82e16-eff1-4874-b008-5e5e1099d4a3.jpg","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-gultepe-kiralik/daire/152290-62","35","35.000","02-01-2025","4 +
                          1","285 m²","5
                        Yaşında","6. Kat","Yaşar Gyo'dan Bekaş Rezidans'ta Kiralık Lüks Daire","Kayseri / Melikgazi / Gültepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/yasar-gayrimenkul-152290","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/4/3/5/7/3/4/f882df14-9115-4e0d-adab-c8b0cd0840c1.jpeg","Yaşar Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/9/2/2/5/1/41a7edb6-0d42-4db9-b423-8de23cdbfe6f.jpg","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/149686-76","20","12.000","02-01-2025","3 +
                          1","165 m²","11
                        Yaşında","12. Kat","Talas Mevlana Mahallesi'nde Kiralık 3+1 Daire....","Kayseri / Talas / Mevlana Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/9/7/8/8/6/3/4/2cf996cc-e6ff-4b15-b477-9dce0db78b48.jpeg","","","","",""
